title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
2610,Epilogue,THRILLER,Cho Seok,"MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",3,71232,9.48,1290052,170008,COMPLETED,True,"What would you do if you discovered that the third-rate story in your free daily newspaper was actually an account of someone’s murder? As Haesu Choi goes through his daily morning newspaper, “Rotary N,” to look for jobs, he stumbles across an ongoing serial thriller called “Epilogue.” At first glance it just seems like pulp fiction, but as the story progresses, the characters turn out to be real-life victims. Get ready for a series full of twists and turns, with murder around every corner."
2608,The Savior's Time,THRILLER,Song Geukjang,TUESDAY,48,126598,9.6,1975910,347714,ONGOING,False,"When the youngest sister of the Yu family ends her own life, her elder brother begins to investigate her untimely death. The only clue left behind is the record of her messages on Savior -- a mysterious online community for those who need salvation from reality.
"
2607,Surviving Romance,HORROR,Lee Yone,THURSDAY,48,558326,9.81,22381206,2863497,ONGOING,False,"When Chaerin Eun becomes the protagonist of the romance novel she is reading, she expects a fairytale ending with the novel’s love interest, Jeha. But when a bizarre twist makes her realize the story is not playing out as it does in the book, she’ll need the help of an unlikely character from her class to defy the new storyline and find her happy ending -- if only she can figure out who this ‘Unknown Extra’ is first!"
2606,My Gently Raised Beast,ROMANCE,"Yeoseulki,Early Flower,Kim JunJun,Teava",SUNDAY,48,1374142,9.82,49416805,5375561,ONGOING,False,"Blondina is living a real-life Cinderella story. After growing up poor and enduring a difficult childhood, she discovers that she is a princess of the Ates empire. However, her estranged father and half-siblings give her the cold shoulder when she moves into the palace, and Blondina must keep a low profile. That all changes when she befriends Amon, a cat-like creature with mysterious intentions. For years, creatures like Amon and humans have struggled to live in harmony. Can Blondina and Amon’s friendship bring peace, or will it deepen the rift between their people?"
2605,If AI Ruled the World,SF,"POGO,HOOPA",MONDAY,49,166965,9.64,3749469,537189,ONGOING,False,"Welcome to a world where artificial intelligence can drive your car, look after you when you’re ill, and solve all of your problems. But all of this convenience comes at a price. AI can pose a threat when it no longer has humanity’s best interests at heart. Can humans learn to coexist with AI?"
2578,Everything is Fine,HORROR,Mike Birchall,MONDAY,34,883276,9.76,40923518,3076810,HIATUS,False,"Sam and Maggie are a normal couple, in a normal house, in a normal neighborhood. There is nothing strange about their heads, their neighbors or their sweet little dog. Everything is Fine."
2577,The Hip Guy,COMEDY,HENIE,TUESDAY,48,225674,9.23,6267259,994036,ONGOING,False,"27-year-old Ga-eun Seong has everything that money can buy, but she can’t rest until her athleisure company is the best in the industry. That’s why she hires Chan Gwak to model her new leggings line for men. Chan has the perfect butt, but is it perfect enough to meet Ga-eun's high standards? After social media interactions have people thinking they’re dating, Ga-eun begins to question... even though Chan’s not her type, could she end up falling for him anyway?"
2576,Rooftops & Roommates,COMEDY,Zaanart,"MONDAY,FRIDAY",78,412326,9.46,24496077,3030182,ONGOING,False,"Jeb is an architecture major at university, rooming with his best friend Todd. There's just one problem... Jeb’s secretly a gargoyle! Between studying, partying, and a bad ghost problem, will Jeb be able to keep his true identity a secret?"
2575,Dungeons & Artifacts,ACTION,"Zerowater,UMKY",MONDAY,49,428340,9.56,14990345,1596030,ONGOING,False,"A dungeon-guiding gig goes sideways for explorer Stetch Atelier when the prince who hired him tricks him into activating a fatal curse. But instead of staying dead, Stetch is resurrected by a sentient artifact that offers him a deal that may help him get his revenge. To hold up his end of the bargain, Stetch sets off on a long journey of raiding dungeons, slaying monsters, and making new enemies and friends along the way."
2574,Return to Player,ACTION,"UMKY,SEHON,INDEX",SATURDAY,49,494241,9.67,15897098,1755515,ONGOING,False,"Ten years ago, a group of gods turned everyone on Earth into players of a sadistic game that forced them to kill monsters in real life -- or be killed themselves. Sehan Kim has already seen how this game will play out: everyone in the world dies except for him. When he’s given the chance to go back in time and start a second playthrough, Sehan is determined to change the course of events and beat the gods at their own game."
2565,The Golden Spoon,DRAMA,HD3,"MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",6,55924,9.14,2306934,286368,COMPLETED,True,"Would you trade your poor but loving family for a life of riches? When Seungcheon gets his hands on a magical spoon that allows him to switch lives with his rich best friend, he thinks it’s a no-brainer. But life-altering decisions are always accompanied by a sense of doubt, and with only three chances to change his mind, Seungcheon has to decide which of his two possible futures is worth keeping."
2564,Her Bucket List,ROMANCE,"Yellow sheep,So-p","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",7,319764,9.7,9057226,1088643,COMPLETED,True,"Rari’s entire world falls apart when her boyfriend dies. Overwhelmed with the pain of losing the love of her life, she decides to go through the bucket list they made together before joining him in death. Things take an unexpected turn when fate links her to Hansol, her neighbor who has a painful story of his own. The two embark on a journey to heal their wounds and learn there is more to life than trauma and heartbreak."
2563,This Magical Moment,SUPERNATURAL,Na Yoonhee,"MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",9,146745,9.43,3591074,539758,COMPLETED,True,"Everyday life can be tough even at the best of times, and when you’re a witch, an aspiring nun, or a former child actor, it gets a lot tougher! All Bakha, Minhyeok, Sara, and Sanghyeop want to do is live like everyone else and follow their dreams, but they are constantly confronted with prejudice and discrimination from those they encounter. Will they be able to show the world that despite their differences, people are all the same deep down?"
2559,The Girl Who Sees Smells ,FANTASY,Maanchwee,"MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",14,151092,9.33,3988839,567047,COMPLETED,True,"After Sae-ah loses her parents to arson, the accident leaves her with the ability to see smells. Another fire puts her in the path of police officer Pyeongan Kim. Though he doesn’t believe in her ability at first, the two team up to solve cases, and he quickly realizes the power Sae-ah holds. Although her ability helps her solve all kinds of crimes, she’s yet to solve the biggest mystery of them all: who killed her parents?
"
2546,The Wendybird,FANTASY,"WmW,Thabfu,Tomas Santiagos",SATURDAY,52,172018,8.94,3933132,725260,ONGOING,False,"Wendy Darling is a headstrong 17-year-old who dreams of escaping her humdrum life and strict family for a life of adventure, like the heroes in her stories. But what will she do when adventure actually comes knocking? In this retelling of Peter Pan, it’s Wendy who must save Neverland from Captain Hook and the strange beasts that torment its inhabitants."
2534,Shotgun Boy,THRILLER,"Carnby Kim,Hongpil",THURSDAY,52,780150,9.82,26637839,3009056,ONGOING,False,"While running for his life in the woods, bullying victim Gyuhwan stumbles upon a shotgun and just enough shells for his classmates. It’s a recipe for disaster. But fate takes an unexpected turn when he returns to find his classmates under attack by brain-eating creatures. Now, the only thing that stands in the way of their ravenous feast is a boy with a shotgun."
2533,To You Who Swallowed a Star,ROMANCE,ARI,MONDAY,55,439788,9.51,16336528,2487752,ONGOING,False,"When Jiu Seo moves out of her childhood friend’s mansion and into a small one-bedroom apartment, she thinks her world is ending -- that is, until she meets Hajun and Hayul, the neglected children who live downstairs. When a scouting offer comes in for Hajun to join an idol survival program, Jiu encourages him to audition, completely unaware of how it will change the trajectory of her and everyone else’s lives forever.


"
2532,Stagtown,HORROR,Punko,TUESDAY,54,217028,9.81,6932860,1388699,ONGOING,False,"Something is wrong with the town Frankie grew up in. Hidden away from the world on the other side of an old stone bridge, the people of Stagtown spend every day trying not to see the strange things that go on around them. From the creator of Tokyopop's best-selling OEM series comes the spiritual successor to Bizenghast."
2529,Devilish Romance,SUPERNATURAL,"Lee Kong-joo,White Eagle",SATURDAY,53,433904,9.5,12235834,1656038,ONGOING,False,"After being unfairly framed in devildom, middle-tier devil Sitri falls onto Earth as a human and searches for a serial killer who could take him back to his origin. He meets a stubborn, strict human boss who he initially hates; however, he eventually starts having feelings for her. Love has no limits, but... does it really? What will be their fate?"
2527,Raven Saga,FANTASY,Chihiro Howe,FRIDAY,53,214453,9.77,6588262,1296710,ONGOING,False,"Once upon a time, in a land of fairy tales, lived a girl and her grandmother, protected and secluded from the rest of the world. When her grandmother is taken by a mysterious boy, Wen must travel to the outside world to save her, but the world isn’t as magical as she once thought, and danger lurks around every corner. With the help of her friends, will Wen be able to solve the mystery of the boy with the ravens? And more importantly, will she be able to solve the mystery of her past?"
